Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2025/01/02,AVGO,AVGO,S,CBOE,34577
2025/01/03,AVGO,AVGO,S,CBOE,24740
2025/01/06,AVGO,AVGO,S,CBOE,26614
2025/01/07,AVGO,AVGO,S,CBOE,25638
2025/01/08,AVGO,AVGO,S,CBOE,16608
2025/01/10,AVGO,AVGO,S,CBOE,25119
2025/01/13,AVGO,AVGO,S,CBOE,16864
2025/01/14,AVGO,AVGO,S,CBOE,13985
2025/01/15,AVGO,AVGO,S,CBOE,13808
2025/01/16,AVGO,AVGO,S,CBOE,27403
2025/01/17,AVGO,AVGO,S,CBOE,24801
2025/01/21,AVGO,AVGO,S,CBOE,30535
2025/01/22,AVGO,AVGO,S,CBOE,22959
2025/01/23,AVGO,AVGO,S,CBOE,13429
2025/01/24,AVGO,AVGO,S,CBOE,44368
2025/01/27,AVGO,AVGO,S,CBOE,75439
2025/01/28,AVGO,AVGO,S,CBOE,58355
2025/01/29,AVGO,AVGO,S,CBOE,22047
2025/01/30,AVGO,AVGO,S,CBOE,40648
2025/01/31,AVGO,AVGO,S,CBOE,44855
2025/02/03,AVGO,AVGO,S,CBOE,20316
2025/02/04,AVGO,AVGO,S,CBOE,16385
2025/02/05,AVGO,AVGO,S,CBOE,43606
