,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,,,,,
2023-02-07,256.3234082373286,264.430353274804,255.8806620537984,263.2398986816406,50841400,149.07235465259149,153.61458490158566,149.07235465259149,153.04061889648438,83322600
2023-02-08,268.7889065089116,272.2914241084485,261.91174710026456,262.4233703613281,54686000,152.2786602948261,152.97137275977542,149.5968551305232,150.33905029296875,64120100
2023-02-09,269.3791495380561,269.5562660350843,258.5567580952953,259.363525390625,42375100,152.17967780621382,152.72395721753742,148.85464324794316,149.29995727539062,56007100
2023-02-10,257.30727111102686,259.8259343195582,256.45132314892584,258.8519287109375,25818500,148.13047201337668,149.99373802352738,147.89260151029114,149.6666717529297,57450700
2023-02-13,263.3186644624134,270.1662789980363,262.8365556487046,266.9392395019531,44630900,149.6072179924685,152.88777139634084,149.5774860679603,152.48143005371094,62199000
2023-02-14,268.2674701886814,270.53032226738316,264.9321908808967,267.7755432128906,37047900,150.76679417039543,152.40212547908195,149.51800808989614,151.83718872070312,61707600
2023-02-15,264.6488747898258,267.02590497768625,262.5381396478936,265.63519287109375,28922400,151.74800433724963,154.11674338956908,151.52005454611242,153.94825744628906,65573800
2023-02-16,260.4077035562338,263.09049009144866,258.3167139229124,258.56329345703125,29603600,152.14443364408874,154.93935535973205,151.985868430853,152.34266662597656,68167900
2023-02-17,255.84108638890078,256.5314910527994,252.49745332073493,254.52926635742188,30000100,150.99477529042434,151.63898716051196,149.50811855355659,151.1929931640625,59144100
2023-02-21,250.99823082473256,251.9944217573943,248.14777206151032,249.21299743652344,28397400,148.8638959311259,149.95411695272674,147.08982549385345,147.15919494628906,58867200
2023-02-22,250.61356544983659,250.8601449778206,246.91487253007625,248.06886291503906,22491100,147.54572027637772,148.61611493809133,145.8509400709552,147.5853729248047,51011300
2023-02-23,252.06345593176604,253.32594191932378,247.0529580842625,251.28427124023438,29219100,148.75487896664254,149.00265510528632,145.93024005993672,148.07101440429688,48394200
2023-02-24,246.54007672843568,247.56584092140017,244.70552447657911,245.81019592285156,24990900,145.80137346736828,145.88066363662452,144.42373891303,145.40493774414062,55469600
2023-02-27,249.00588520460076,249.36096033836793,245.97788127913898,246.7373504638672,21190000,146.39603304549414,147.84303695578296,146.13833623071892,146.60415649414062,44998500
2023-02-28,245.6622592388617,248.04914726252943,245.32689964295895,246.00746154785156,22491000,145.74191090318052,147.7538517062128,145.5238667165713,146.0987091064453,50547000
2023-03-01,247.32913256854502,247.4968048471562,242.42713018495667,242.90057373046875,27565300,145.52387812060013,145.9203138783818,143.72006063966762,144.01739501953125,55479000
2023-03-02,243.17673864636473,247.96037256032474,242.24959719355036,247.67434692382812,24808200,143.0956567800384,145.40493182531964,142.61991578386647,144.61204528808594,52238100
2023-03-03,248.73955740111904,252.12262116972,247.95049993219732,251.79713439941406,30760100,146.72310034368257,149.7657983517578,146.01942463285462,149.68650817871094,70732300
2023-03-06,252.92154740586594,256.56106366398126,252.47770726341727,253.35552978515625,24109800,152.42194098250997,154.90962273726373,152.09488983458962,152.4615936279297,87558000
2023-03-07,252.7933380816872,254.16433480309476,249.92316360923053,250.67276000976562,21473200,152.33275997963113,152.65982628230532,149.7856292559754,150.25144958496094,56182000
2023-03-08,250.56424163422204,251.05740068054592,247.3784384089754,250.22889709472656,17340200,151.45068324166047,152.10481587149795,150.47940502111874,151.51014709472656,47204800
2023-03-09,252.31991130747735,256.00873148264196,248.13791701716175,248.8677978515625,26653400,152.19400890417916,153.1652871071905,148.89362901108174,149.25042724609375,53833600
2023-03-10,247.64476514837403,249.33136077212063,244.212382169328,245.18882751464844,28333900,148.87379600332346,149.59729796835543,146.2969185586702,147.1790008544922,68572400
